State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Coconino,4005.0,2011,2011.0,Oct,10,67.0632,79.8945,8
Arizona,4.0,Gila,4007.0,2000,2000.0,Jan,1,56.7005,79.05,1
Arizona,4.0,Gila,4007.0,2000,2000.0,Apr,4,73.2192,81.1971,1
Arizona,4.0,Gila,4007.0,2000,2000.0,May,5,83.2319,84.2977,0
Arizona,4.0,Gila,4007.0,2000,2000.0,Jun,6,89.1238,86.5959,0
Arizona,4.0,Gila,4007.0,2000,2000.0,Jul,7,92.7839,89.3139,0
Arizona,4.0,Gila,4007.0,2000,2000.0,Aug,8,88.7012,87.9196,0
Arizona,4.0,Gila,4007.0,2000,2000.0,Sep,9,86.5053,85.4525,0
Arizona,4.0,Gila,4007.0,2000,2000.0,Oct,10,68.0531,82.6696,0
Arizona,4.0,Gila,4007.0,2001,2001.0,Mar,3,61.2524,79.1833,1
Arizona,4.0,Gila,4007.0,2001,2001.0,Apr,4,66.2309,80.6976,0
Arizona,4.0,Gila,4007.0,2001,2001.0,May,5,81.5855,83.4281,0
Arizona,4.0,Gila,4007.0,2001,2001.0,Jun,6,88.7229,86.6907,3
Arizona,4.0,Gila,4007.0,2001,2001.0,Jul,7,89.4722,87.45,0
Arizona,4.0,Gila,4007.0,2001,2001.0,Aug,8,88.3816,87.1813,0
Arizona,4.0,Gila,4007.0,2001,2001.0,Sep,9,86.5117,84.4896,1
Arizona,4.0,Gila,4007.0,2001,2001.0,Oct,10,75.8856,80.8023,1
Arizona,4.0,Gila,4007.0,2001,2001.0,Nov,11,63.5287,80.073,2
Arizona,4.0,Gila,4007.0,2002,2002.0,Mar,3,60.4351,79.6875,2
Arizona,4.0,Gila,4007.0,2002,2002.0,Apr,4,72.9618,80.5384,2
Arizona,4.0,Gila,4007.0,2002,2002.0,May,5,79.0196,83.1165,0
Arizona,4.0,Gila,4007.0,2002,2002.0,Jun,6,91.5983,87.8842,2
Arizona,4.0,Gila,4007.0,2002,2002.0,Jul,7,92.0525,89.0785,3
Arizona,4.0,Gila,4007.0,2002,2002.0,Aug,8,90.3698,87.834,2
Arizona,4.0,Gila,4007.0,2002,2002.0,Sep,9,84.1275,84.7467,1
Arizona,4.0,Gila,4007.0,2002,2002.0,Oct,10,70.7202,80.7509,0
Arizona,4.0,Gila,4007.0,2002,2002.0,Nov,11,62.7951,78.5,2
Arizona,4.0,Gila,4007.0,2003,2003.0,Mar,3,58.4437,78.5667,0
